retail_price,release_month,release_quarter,log_retail_price,has_collaboration,collab_count,collab_tier,brand_retail_mean,brand_retail_std,brand_retail_median,brand_resell_mean,brand_resell_std,brand_resell_median,model_retail_mean,model_retail_std,model_retail_median,model_resell_mean,model_resell_std,model_resell_median,model_count,retail_to_brand_mean,model_resell_mean_to_brand_mean,retail_to_model_mean,brand,model_processed,collab_brands,size_category,resell_price
100.0,4.0,2.0,4.61512051684126,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,105.89430894308943,17.50916060384714,110.0,98.0569105691057,32.47452994725582,92.0,123.0,0.6953837852278342,0.6291812654799638,0.944337811900192,Jordan,1 mid,none,GS,62.0
120.0,2.0,1.0,4.795790545596741,1,1,2,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,120.0,0.0,120.0,86.66666666666667,9.048020041239226,88.5,6.0,0.8174579924707817,0.4944908726467494,1.0,Nike,air huarache,stussy,Men,95.0
120.0,6.0,2.0,4.795790545596741,0,0,0,148.30107526881721,40.503667603792955,150.0,154.40430107526882,79.51783566192826,134.0,114.98529411764706,14.315728378838475,120.0,103.76470588235294,36.52196952686368,95.5,68.0,0.8091647331786542,0.672032483290539,1.043611715053076,New Balance,550,none,Men,123.0
140.0,9.0,3.0,4.948759890378168,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,136.66666666666666,21.110192891170804,130.0,126.4,44.949204891834995,117.0,33.0,0.9735372993189679,0.8594401987903793,0.9944751381215469,Jordan,Other,none,Women,143.0
85.0,1.0,1.0,4.454347296253507,0,0,0,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,108.94495412844037,23.832880073095055,110.0,104.16055045871559,44.49508753157074,94.5,218.0,0.5790327446668037,0.5943050941349544,0.7802105263157895,Nike,dunk low,none,GS,55.0
100.0,4.0,2.0,4.61512051684126,0,0,0,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,105.44776119402985,21.368543562973908,100.0,113.3731343283582,34.508161450500424,106.0,67.0,0.65120648340538,0.7082952646055388,0.9483368719037508,adidas,samba og,none,Women,104.0
110.0,7.0,3.0,4.709530201312334,0,0,0,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,107.89473684210526,5.76939489863918,110.0,119.21052631578948,27.02067066078761,112.5,38.0,0.716327131745918,0.7447641963929322,1.0195121951219512,adidas,handball spezial,none,Women,124.0
110.0,9.0,3.0,4.709530201312334,0,0,0,148.30107526881721,40.503667603792955,150.0,154.40430107526882,79.51783566192826,134.0,114.98529411764706,14.315728378838475,120.0,103.76470588235294,36.52196952686368,95.5,68.0,0.7417343387470997,0.672032483290539,0.9566440721319862,New Balance,550,none,Men,74.0
130.0,3.0,1.0,4.875197323201151,0,0,0,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,155.0,12.24744871391589,160.0,124.66666666666667,33.29664647778612,136.0,6.0,0.8855794918433467,0.7113061014226317,0.8387096774193549,Nike,air max dn,none,GS,59.0
130.0,12.0,4.0,4.875197323201151,0,0,0,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,134.84848484848484,17.161223026275707,130.0,120.15151515151516,36.4023704689348,114.0,33.0,0.8855794918433467,0.6855441643511753,0.9640449438202248,Nike,air max 90,none,Women,114.0
